#OTU_IDs	16S_rRNA_Count
4484972	5.0
2591255	2.0
study_209	1.0
study_208	3.0
study_205	3.0
study_204	2.0
study_207	3.0
study_206	2.0
study_201	5.0
study_200	13.0
study_203	2.0
study_202	2.0
4466830	2.0
79454	1.0
1800506	2.0
545932	10.0
235029	2.0
139105	7.0
4485324	1.0
4485028	8.0
4485029	8.0
3486930	5.0
4485022	8.0
4485023	8.0
4485020	8.0
4485021	7.0
4485026	9.0
4485027	8.0
4485024	9.0
4485025	9.0
358223	7.0
128625	7.0
128628	3.0
study_37	4.0
study_36	4.0
study_35	4.0
study_34	2.0
study_199	4.0
study_198	6.0
study_31	4.0
study_30	4.0
study_195	6.0
study_194	3.0
study_197	4.0
study_196	3.0
study_191	4.0
study_190	4.0
study_39	4.0
study_38	3.0
4485116	7.0
773978	4.0
4485115	2.0
4485112	9.0
4485110	4.0
4485111	4.0
745240	2.0
1916188	2.0
4485118	5.0
4485119	5.0
154130	3.0
4485591	1.0
170907	9.0
248001	3.0
454104	4.0
4314836	8.0
484430	3.0
148517	2.0
484436	4.0
470634	5.0
470983	2.0
149062	3.0
470639	5.0
129059	2.0
139852	7.0
139853	4.0
143806	2.0
537374	12.0
128717	4.0
128714	7.0
469661	7.0
160193	6.0
4318834	2.0
4485335	2.0
3171095	4.0
246213	9.0
4485201	7.0
4485206	7.0
4485207	2.0
4485205	2.0
226044	1.0
4485208	2.0
4485209	2.0
4485338	3.0
129050	8.0
470188	5.0
469849	5.0
469846	5.0
4326603	8.0
469842	5.0
247344	1.0
194205	1.0
362663	4.0
168839	7.0
269225	12.0
470747	4.0
265766	7.0
2985416	2.0
4451511	1.0
470740	4.0
484320	4.0
666070	8.0
3425198	3.0
158042	4.0
112073	1.0
470168	2.0
1832008	5.0
407351	4.0
270963	7.0
471344	9.0
4485378	3.0
4485379	2.0
4485376	3.0
4485377	3.0
4485374	3.0
4485375	3.0
4485372	3.0
4485373	3.0
4485370	1.0
4485371	3.0
3046726	3.0
252888	1.0
470563	6.0
470292	5.0
268265	13.0
137114	1.0
4485230	2.0
471420	2.0
242938	3.0
2283711	4.0
3689623	3.0
267062	3.0
3233360	6.0
3880986	6.0
349837	1.0
4484799	3.0
4484796	3.0
4484795	4.0
4484793	9.0
4484792	9.0
4484791	9.0
4484790	3.0
4484150	5.0
643642	4.0
4385065	8.0
262922	9.0
526964	1.0
242208	7.0
470367	7.0
4096185	6.0
289858	2.0
470369	1.0
3834835	4.0
471011	5.0
2278661	2.0
382771	5.0
234320	1.0
128600	9.0
259512	12.0
548747	4.0
611034	4.0
109890	1.0
1578654	2.0
study_19	4.0
267197	4.0
262815	9.0
4485569	5.0
4485568	5.0
4485567	5.0
562633	13.0
4485565	5.0
365184	7.0
4485563	5.0
4485562	5.0
4485561	5.0
4485560	5.0
4413941	4.0
3551761	7.0
302284	2.0
610483	4.0
470236	2.0
267446	2.0
3936004	1.0
262493	6.0
262492	9.0
244991	3.0
4417490	4.0
244434	3.0
4484560	4.0
4308828	3.0
4484562	5.0
4484564	3.0
4484565	1.0
4484566	3.0
184499	1.0
184496	5.0
4484569	3.0
259463	9.0
289675	11.0
2752477	5.0
1802115	1.0
406487	6.0
733659	5.0
356671	2.0
356677	6.0
785760	1.0
356678	4.0
145370	2.0
3030226	1.0
4484898	9.0
4484899	9.0
355323	4.0
145150	3.0
4484890	2.0
4484891	9.0
146617	7.0
4400244	3.0
241364	2.0
4484897	9.0
846121	4.0
311137	2.0
261676	9.0
267533	1.0
267530	9.0
165643	6.0
295454	1.0
258207	6.0
4343121	5.0
189350	2.0
4484902	3.0
4484968	4.0
4484903	2.0
4484965	3.0
4484966	4.0
4484960	3.0
4484961	3.0
4484962	3.0
4484963	3.0
2834267	3.0
4484906	9.0
1696180	2.0
study_210	4.0
study_211	2.0
266310	5.0
145022	4.0
153370	1.0
128947	7.0
4485174	1.0
4484905	9.0
4436531	3.0
128433	7.0
250153	4.0
2123044	6.0
4368307	11.0
3474585	5.0
933076	1.0
4420776	2.0
4401067	1.0
3402132	1.0
2503593	4.0
4383765	2.0
253824	9.0
4335697	1.0
3490316	2.0
868041	1.0
4170037	1.0
250733	2.0
153596	1.0
261093	2.0
4351467	6.0
216145	1.0
4485683	2.0
140276	1.0
3730313	6.0
140272	7.0
study_188	3.0
study_189	4.0
study_186	2.0
study_187	2.0
study_184	3.0
2766281	7.0
study_182	5.0
study_183	4.0
study_180	4.0
study_181	6.0
4485163	1.0
4485162	1.0
4485161	1.0
4485160	1.0
4485167	1.0
4485166	1.0
4485165	1.0
4485164	1.0
362506	7.0
4485169	1.0
238798	11.0
4472697	3.0
2760629	7.0
269695	7.0
242368	7.0
824722	1.0
470993	5.0
554247	2.0
470623	5.0
2645000	5.0
470996	4.0
470995	4.0
4354946	7.0
4387918	1.0
817563	3.0
1634660	1.0
3906081	2.0
128769	11.0
605028	4.0
141871	7.0
4484882	4.0
study_156	4.0
210623	4.0
609533	5.0
270882	1.0
1675012	7.0
203962	9.0
4469345	6.0
3526713	5.0
3935866	6.0
338978	7.0
260125	4.0
182392	6.0
264317	7.0
469832	5.0
341294	2.0
236200	5.0
2289218	1.0
469834	5.0
470194	4.0
514177	2.0
1742294	12.0
484357	2.0
341050	2.0
265952	2.0
265407	6.0
470171	4.0
470170	4.0
470173	4.0
470172	4.0
196030	6.0
471486	7.0
470178	4.0
2296518	2.0
218513	7.0
3171334	1.0
215612	5.0
471378	4.0
3625698	2.0
469941	4.0
156613	3.0
4485302	6.0
4485301	5.0
197631	3.0
4485306	6.0
4485305	6.0
4485304	6.0
317180	7.0
269854	7.0
269855	2.0
264227	9.0
182084	1.0
264222	9.0
137824	1.0
3341679	1.0
804587	5.0
471394	10.0
142421	1.0
2649931	5.0
4345952	4.0
263024	13.0
263021	7.0
471398	6.0
4484875	4.0
4336960	12.0
159756	5.0
4485123	2.0
4484787	5.0
4484780	10.0
4484781	2.0
4345956	1.0
363839	8.0
4350433	1.0
4485415	6.0
4485414	5.0
4485413	5.0
4485412	5.0
4485411	5.0
4485419	5.0
4485418	5.0
607066	4.0
262319	5.0
361962	7.0
585208	11.0
259505	13.0
416239	7.0
4485628	7.0
137555	1.0
242967	8.0
4485578	5.0
262867	9.0
4485574	5.0
4485575	5.0
4485576	5.0
4485577	5.0
257615	7.0
4485571	5.0
154921	8.0
1754342	9.0
268307	10.0
610809	7.0
186470	1.0
2472963	3.0
471159	4.0
606204	6.0
241156	7.0
4484559	4.0
607339	7.0
258477	2.0
4484554	9.0
2028276	1.0
3822178	1.0
4484550	5.0
312745	7.0
4417624	6.0
151524	1.0
4469832	1.0
4453452	1.0
3608204	1.0
610992	6.0
356687	7.0
267239	12.0
356680	4.0
2706578	1.0
129238	4.0
279975	1.0
572288	9.0
4484636	3.0
531271	1.0
3311295	5.0
207609	9.0
3338135	5.0
188038	3.0
4484747	13.0
318253	4.0
4348874	2.0
76821	1.0
263800	7.0
221045	4.0
4484958	3.0
266124	9.0
3119708	4.0
4484951	11.0
4484950	11.0
4375475	5.0
4484952	11.0
4484955	3.0
4484954	3.0
4484957	3.0
4484956	3.0
4410087	2.0
240510	2.0
260427	4.0
79992	1.0
128952	5.0
4383605	7.0
141241	6.0
128421	2.0
128423	3.0
128429	2.0
264779	4.0
4420943	3.0
261885	7.0
623682	7.0
683920	6.0
2264221	4.0
260682	7.0
270365	2.0
684824	5.0
42375	1.0
study_18	2.0
study_15	4.0
study_14	4.0
study_17	4.0
study_16	8.0
study_11	6.0
study_10	4.0
study_13	6.0
study_12	4.0
2224305	6.0
250583	3.0
153057	5.0
394740	7.0
128884	7.0
235488	9.0
4485170	1.0
4485171	1.0
4485172	1.0
4485173	1.0
4046531	4.0
4485175	1.0
4485176	1.0
4485178	1.0
4485179	2.0
study_159	4.0
study_158	2.0
260206	7.0
260750	2.0
study_151	4.0
study_150	3.0
study_153	2.0
study_152	4.0
study_155	4.0
study_154	3.0
study_157	2.0
269684	12.0
141021	1.0
470969	2.0
study_58	6.0
658919	3.0
167322	2.0
135883	7.0
128770	3.0
138783	7.0
4484608	12.0
270217	1.0
270210	7.0
49993	1.0
4474784	7.0
2780645	6.0
187901	2.0
609781	6.0
152259	2.0
470144	2.0
197531	2.0
247369	13.0
4484494	3.0
4400920	2.0
278384	7.0
347528	2.0
469825	4.0
469824	4.0
285342	3.0
469826	5.0
315575	7.0
44325	3.0
1093452	6.0
470761	5.0
654465	2.0
3272947	2.0
470141	4.0
470143	2.0
257448	5.0
470146	2.0
470148	9.0
471495	2.0
2158755	2.0
317681	7.0
804807	7.0
4409882	3.0
4484525	5.0
4456362	5.0
129063	3.0
264531	7.0
651792	4.0
108671	1.0
4485318	6.0
4456166	1.0
469957	3.0
4485639	7.0
161581	6.0
1889934	1.0
471360	10.0
129174	2.0
4485315	13.0
645610	1.0
471364	4.0
269840	1.0
4351645	1.0
471384	6.0
4190059	3.0
4435940	2.0
4309354	4.0
233395	2.0
335683	2.0
398670	4.0
305892	7.0
129288	6.0
129289	4.0
813368	2.0
4485404	1.0
529416	1.0
4485407	4.0
4485400	7.0
4485401	7.0
242264	1.0
4485403	1.0
371128	4.0
2819473	2.0
4485409	2.0
191302	14.0
4484520	13.0
709004	2.0
264435	2.0
3767467	1.0
470389	2.0
171289	3.0
471156	4.0
470382	3.0
152457	4.0
470380	2.0
470381	2.0
239795	3.0
4480115	6.0
416229	6.0
470546	4.0
359894	1.0
4426132	1.0
663604	7.0
108256	3.0
471401	2.0
156880	1.0
4327152	4.0
370187	7.0
4485549	2.0
4485548	1.0
161380	6.0
2266188	7.0
804646	6.0
717479	7.0
4485541	3.0
4485540	3.0
4485543	4.0
4485542	3.0
4485545	5.0
4485544	5.0
4485546	2.0
531786	2.0
471141	3.0
4396792	3.0
242469	9.0
471144	4.0
606927	9.0
347501	1.0
436675	4.0
4454428	6.0
1911677	2.0
4485314	9.0
214763	5.0
267312	1.0
572169	4.0
4484548	5.0
4484549	5.0
368769	4.0
4183921	2.0
519687	7.0
4484546	5.0
469746	6.0
522169	8.0
268249	5.0
469482	6.0
3893397	10.0
267954	7.0
4390590	1.0
234650	6.0
610180	5.0
187020	4.0
3227824	1.0
4402844	1.0
541025	3.0
398895	5.0
4401860	2.0
276224	12.0
287314	3.0
2158722	4.0
267551	6.0
267550	9.0
239371	9.0
158500	6.0
4484946	3.0
628249	2.0
4484944	3.0
4367774	1.0
4327050	1.0
566040	13.0
4484940	4.0
4484941	4.0
140070	7.0
253024	3.0
253750	8.0
344373	1.0
4484949	11.0
213398	6.0
236502	11.0
2436699	4.0
260924	13.0
471001	4.0
128968	11.0
128961	4.0
189192	2.0
3177679	2.0
350050	12.0
4471598	3.0
4402904	2.0
4475393	3.0
220466	6.0
249170	5.0
155301	1.0
study_33	4.0
192281	5.0
study_32	4.0
471221	3.0
4484693	6.0
4413120	6.0
4484690	2.0
592611	5.0
551147	11.0
244402	9.0
146634	3.0
4484696	6.0
4454849	2.0
4484925	5.0
3286983	3.0
104684	1.0
470812	4.0
266998	3.0
2156406	2.0
4484695	2.0
3339673	1.0
270705	6.0
181072	9.0
study_193	4.0
4426745	2.0
study_192	4.0
470543	5.0
469991	2.0
4485149	4.0
4485148	6.0
469990	9.0
2122727	4.0
4485147	2.0
4485146	2.0
4485141	6.0
4485140	6.0
2940299	3.0
4485142	5.0
study_148	4.0
study_149	3.0
study_142	4.0
study_143	2.0
study_140	6.0
4484516	5.0
1772684	3.0
study_147	4.0
study_144	3.0
study_145	4.0
244710	4.0
519232	7.0
141034	6.0
470975	2.0
470974	2.0
470971	2.0
470970	2.0
470605	6.0
3372469	2.0
761865	2.0
4392899	4.0
2611489	1.0
4471499	4.0
251266	3.0
3110915	4.0
250045	4.0
3750550	1.0
study_1	4.0
study_3	4.0
study_2	4.0
study_5	6.0
study_4	4.0
study_7	4.0
study_6	4.0
study_9	4.0
study_8	2.0
271358	7.0
342971	4.0
469816	6.0
469817	6.0
469810	6.0
246712	12.0
591146	2.0
163085	3.0
469818	6.0
246717	3.0
2547205	2.0
346026	7.0
484376	6.0
4485402	1.0
4485093	2.0
4485092	4.0
4485091	3.0
4485095	7.0
4485094	5.0
2370790	10.0
2905335	2.0
138689	6.0
2546331	1.0
4448519	6.0
470155	9.0
4485058	1.0
2821279	9.0
246627	11.0
521709	1.0
129163	2.0
4485320	5.0
4485322	4.0
260518	3.0
4485329	5.0
4485055	7.0
243295	5.0
155836	5.0
186071	3.0
2722754	4.0
3703169	2.0
149535	2.0
1962306	6.0
3835597	2.0
3272844	10.0
3306262	4.0
3840972	10.0
421879	10.0
2175894	6.0
149068	3.0
569411	5.0
3059028	1.0
715963	1.0
147169	8.0
252324	4.0
156093	5.0
3586095	4.0
2560633	6.0
129299	13.0
484437	2.0
115056	3.0
155947	5.0
4485433	6.0
4485435	6.0
469486	5.0
164094	4.0
222236	4.0
4355411	7.0
470732	4.0
470395	2.0
470394	2.0
470397	2.0
470396	2.0
484439	2.0
470393	2.0
470392	2.0
4355625	2.0
471048	2.0
2205933	3.0
156494	3.0
4397090	3.0
337418	2.0
131988	9.0
1767081	6.0
4485556	5.0
4485557	5.0
4485554	5.0
3905393	7.0
4485552	3.0
2345736	5.0
258045	3.0
258675	7.0
4485558	5.0
3630583	1.0
4453271	3.0
267816	12.0
156789	3.0
471130	4.0
4485238	4.0
2772794	2.0
756549	3.0
319524	1.0
242701	10.0
577477	11.0
245121	5.0
829874	3.0
1997550	5.0
4406407	2.0
4484531	5.0
3460243	3.0
3173192	7.0
3721126	11.0
609964	4.0
611053	5.0
2472702	2.0
525752	2.0
91372	1.0
339584	8.0
213656	4.0
1785685	14.0
208810	4.0
240758	11.0
2095944	1.0
3674693	2.0
4395015	1.0
111436	7.0
231176	2.0
