nodes	16S_rRNA_Count
'internal_node_1753'	1
'internal_node_1754'	1
'internal_node_1759'	1
'internal_node_1765'	2.00794563145007
'internal_node_1766'	2.0122297020281
'internal_node_1767'	2.4886341920554
'internal_node_1769'	3
'internal_node_1770'	3
'internal_node_1775'	2
'internal_node_1778'	1.5898372137692
'internal_node_1793'	2.16628118717108
'internal_node_1794'	2.31409908188656
'internal_node_1795'	2.1380129773307
'internal_node_1796'	2.18421745003757
'internal_node_1797'	2.28601805994398
'internal_node_1798'	2.20245889994268
'internal_node_1799'	1.79250918565403
'internal_node_1800'	1.69167233394365
'internal_node_1801'	1
'internal_node_1804'	3
'internal_node_1807'	1.88256773942533
'internal_node_1809'	1.76136941322749
'internal_node_1810'	1.9330488060034
'internal_node_1821'	1.54502906184434
'internal_node_1835'	2.05338952495075
'internal_node_1836'	2.45693753032385
'internal_node_1841'	1.41493027050212
'internal_node_1842'	1
'internal_node_1843'	1
'internal_node_1844'	1
'internal_node_1848'	1
'internal_node_1849'	1
'internal_node_1850'	1
'internal_node_1851'	1
'internal_node_1858'	2
'internal_node_1859'	2
'internal_node_1860'	2
'internal_node_1862'	2
'internal_node_1863'	2
'internal_node_1866'	2
'internal_node_1871'	2
'internal_node_1872'	2
'internal_node_1873'	2
'internal_node_1874'	2
'internal_node_1875'	2
'internal_node_1876'	2
'internal_node_1877'	2
'internal_node_1878'	2
'internal_node_1879'	2
'internal_node_1892'	2.584770331036
'internal_node_1893'	2.21810733404475
'internal_node_1894'	1.23024293275323
'internal_node_1895'	1
'internal_node_1898'	1.47867313312576
'internal_node_1899'	1.74421968236488
'internal_node_1900'	1.88469670665479
'internal_node_1901'	1.80027038470327
'internal_node_1902'	2.09849429297465
'internal_node_1903'	2.15056912040329
'internal_node_1904'	1.74247670619208
'internal_node_1905'	1.58024648954816
'internal_node_1914'	2
'internal_node_1917'	1.43540938428645
'internal_node_1921'	3.24211685439958
'internal_node_1922'	3.19914598587538
'internal_node_1923'	3.3331445953689
'internal_node_1927'	3.1218396842148
'internal_node_1928'	3.01514584159338
'internal_node_1929'	3.61934852754334
'internal_node_1930'	4
'internal_node_1939'	3.27602894330383
'internal_node_1940'	3.503587376241
'internal_node_1963'	3.29038520343172
'internal_node_1964'	3.56447424355532
'internal_node_1966'	4.47821743021243
'internal_node_1967'	4.03512435752083
'internal_node_1968'	4.0459808836215
'internal_node_1969'	4.06495213038446
'internal_node_1970'	4.80325903698484
'internal_node_1998'	4
'internal_node_2002'	5.13117688592278
'internal_node_2005'	4
'internal_node_2064'	5.81586559398575
'internal_node_2065'	5.33156736691934
'internal_node_2097'	5.52389452025785
'internal_node_2139'	6
'internal_node_2140'	6
'internal_node_2148'	6.50367079299061
'internal_node_2209'	2.96877038615004
'internal_node_2210'	3.67757456133964
'internal_node_2211'	3.66784413335242
'internal_node_2212'	2.58243308914194
'internal_node_2218'	3.68470131085493
'internal_node_2220'	5.1894522054724
'internal_node_2222'	6
'internal_node_2250'	2.78506388379289
'internal_node_2251'	3.02945719340034
'internal_node_2252'	3.04664389414244
'internal_node_2254'	3.57263215319293
'internal_node_2255'	4.57984915440411
'internal_node_2278'	3
'internal_node_2287'	1
'internal_node_2288'	1
'internal_node_2291'	1
'internal_node_2292'	1
