#gg_id	img_genome_id
128769	637000014
471137	643886052
263239	641736141
3860764	649633086
4116918	2516143100
470729	643886150
265440	645951873
4355411	643692054
2500552	643692008
4402904	649633037
3007286	2516143034
4427499	2516143075
4138318	649633081
484437	645951869
610165	648276715
4400281	2512564050
3795090	2512564028
1602208	2512564033
3496030	2512564032
3375179	2516143043
2789754	2516143043
1563515	644736395
4383605	644736363
1963762	2516143043
269837	641736191
231176	640427104
470321	643886120
1582899	2516143039
4294204	643886150
517757	650377921
4294431	641736182
4259354	2516143010
3120765	2516143010
817563	650377991
1571963	2516143010
4429921	2511231098
4379598	2511231060
471378	637000318
2503593	643692029
3272844	650377907
3171334	646564534
469479	643886181
3721126	646564508
1606695	2516143080
469480	643886181
3029915	2516143080
4094054	2516143080
2976283	2516143080
245173	640963051
3123189	2516143080
4294277	643886082
1812605	2516143037
4369987	2511231181
238798	641380425
3437016	649633106
3582255	649633014
4410509	649633012
4165717	649633031
2998997	649633076
2755694	2516143037
2611489	648028045
263990	641736131
4466799	2516143086
2756182	642555116
3870505	2516143023
2455447	2516143099
42375	637000173
4368307	643692006
2799786	2516143023
2600161	2516143086
337418	642555130
258309	641736182
3302813	2516143033
471256	639279303
2820394	2516143103
4357903	646311913
2443457	2516143103
4227138	2516143031
3167443	2516143103
3412392	2516143103
4294211	643886202
469816	641380449
2355076	650377958
3413545	2516143040
128961	637000138
156494	638341009
645610	650377928
660880	650377935
765906	650377936
755255	650377937
2016648	650377938
2617880	650377941
4050702	650377940
2985051	650377943
484443	645058705
470738	645058784
2841922	2516143064
4345543	2512047037
161964	637000309
263445	641736147
3845312	2511231105
1509268	2516143059
173855	640427136
3517850	2516143059
2619705	2516143064
167565	640427136
4357656	637000329
128845	637000096
109890	637000089
471202	637000082
2581045	2516143013
143100	637000073
2883193	2511231200
471434	640753022
4299221	637000120
1796128	640427137
2614994	2516143050
470207	643886002
1556059	2516143050
3402132	646564585
2053803	646564514
4454849	646564520
2671090	2516143053
139039	638341015
2272265	2516143053
2498530	2516143053
2800101	2516143053
470173	641380422
4393682	646564587
3054945	2516143053
4162294	646862306
362663	642979305
398854	644736328
2638030	2516143092
471427	640753015
3020215	2516143101
2865765	2516143101
261719	641736141
267975	641736141
146634	640427137
268120	641736141
711230	648231715
2382894	2516143060
484369	645058850
471398	642555112
2780645	642555112
128782	637000296
3709574	642555112
1528255	642555112
471266	642555144
469990	641736113
128676	637000211
364921	642979340
260343	641736213
2347898	2516143095
128717	637000122
3569241	2516143076
187016	639633038
2520968	2516143065
560530	645058774
804612	648276642
541279	645058774
196030	639633035
471495	639633063
4367894	637000130
160310	637000216
1134241	2511231179
1118130	651053022
161242	637000271
4351619	651053008
4294330	645951844
562256	638341030
3623648	651053019
291728	641736224
2997840	2513237243
161006	637000268
159676	637000268
4461368	2513237247
159756	637000268
4294203	643886194
3640715	637000199
292898	642555148
470724	643886202
289369	642555139
3792890	2516143075
470172	641380422
262610	641736109
289675	642555125
2297731	2516143006
2709364	2516143006
264317	641736208
471130	645058719
189350	639633009
1909922	643348565
1793826	643348574
4375497	643692051
3623950	643348543
4360145	643348561
263931	641736138
4294182	643886041
470397	641380420
4294236	643886189
470396	641380420
804624	648276712
470395	641380420
4479896	2512047042
469852	643886040
470398	641380420
3982061	2516143077
1556217	649633059
340638	642791603
610307	647000294
2456573	650377956
128884	637000255
2756710	2516143078
3599827	2516143078
1702270	2516143059
3225184	2516143077
105626	638341097
140220	638341202
1744377	650716020
809068	651053021
3392123	2516143071
269194	645951874
314123	642791628
3256439	2516143071
3478198	2516143029
2324395	2516143071
2361219	2516143055
4332946	2511231073
194409	639633026
2509678	650716064
277148	641736134
144444	637000095
3490316	637000310
141204	637000119
141021	637000072
4456787	650716022
143806	637000205
4408003	637000311
2684261	637000051
141034	637000051
1748411	2516143093
788007	647000299
254715	640963024
49474	637000321
470265	643886065
1960806	2516143093
2788000	2516143093
361962	642979370
3254421	2516143093
327510	637000031
4294282	645951844
2573910	650377950
469853	643886102
1502211	2516143042
1846612	2516143042
137824	637000178
2329433	2516143042
2615429	650377952
2195926	2516143071
4294168	642979318
244402	641380451
132290	638341079
4294297	645951844
4294343	645951844
3616163	2516143045
573322	643886131
4319650	2517093039
128526	637000269
348968	642555159
260579	641736205
469639	641736205
469662	641736271
2652159	642555159
1689375	650716042
3411393	2512564072
1816164	2512564072
2707164	650716101
2574952	650716085
470527	645951838
2196080	650716065
4055164	637000058
801905	643886131
593785	648276758
1129771	651053028
4387024	2512564059
3420151	2516143006
3508192	2516143036
1589044	2516143036
1722623	2511231118
2137807	2512564065
2507353	648231713
2437410	2516143058
4352732	2511231191
1865919	2511231131
2484834	2506783011
261842	641736182
4390152	2511231168
269369	641736172
262815	641736153
258820	641736153
4454428	643348564
3936004	643348566
2325513	650716102
1557318	2511231209
2607080	2516143020
129059	637000348
4381490	2515154209
2167944	2516143049
1526277	650716072
3953809	2516143049
471238	643348528
4378318	650716061
3317775	2516143049
4439272	650716053
4391922	650716074
163978	639857004
4294386	645951844
1807612	2516143089
4138423	2516143089
2041792	2516143089
242938	640753013
238461	640753028
3526831	2511231199
1770941	2516143083
2257780	650716013
261827	641736222
1500266	2516143052
2808392	2516143054
3028316	2516143054
2837418	2516143054
4294273	643886005
608845	648276666
2136127	649633086
608496	648276662
